Age,Gender Identity,Gender Alignment,Main Species
18,male,cisgender,wolf
23,male,cisgender,othercanine
26,male,cisgender,wolf
32,female,cisgender,wolf
29,male,cisgender,snowleopard
30,male,cisgender,riverotter
40,male,cisgender,germanshepherd
32,female,cisgender,rabbit
24,male,cisgender,coyote
21,male,cisgender,anthro
27,female,cisgender,dragon
21,male,cisgender,wolf
34,male,cisgender,wolf
20,male,transgender,wolf
22,male,cisgender,arcticfox
21,male,cisgender,deer
28,male,cisgender,wolf
21,male,cisgender,brownbear
33,female,cisgender,germanshepherd
18,male,cisgender,squirrel
34,male,cisgender,lion
20,nonbinary_nos,transgender,othercanine
21,female,cisgender,bat
23,male,cisgender,otherfox
21,male,cisgender,redfox
18,male,transgender,otherdog
30,male,cisgender,redfox
30,male,cisgender,
24,mostly_female,transgender,fennec
54,male,cisgender,
26,male,cisgender,rabbit
33,male,cisgender,skunk
24,genderqueer,transgender,tiger
22,mostly_male,cisgender,wolf
20,male,cisgender,lion
31,nonbinary_nos,transgender,cheetah
30,male,cisgender,lion
23,female,cisgender,redfox
20,female,cisgender,otherungulate
27,male,cisgender,wolf
29,male,cisgender,
54,male,cisgender,otherungulate
25,genderqueer,transgender,polymorphic
29,female,cisgender,otherfeline
28,male,cisgender,wolf
35,male,cisgender,snowleopard
35,male,cisgender,lion
19,genderqueer,complicated,lion
27,male,cisgender,redfox
18,male,cisgender,wolf
30,male,cisgender,wolf
31,male,cisgender,snowleopard
26,mostly_female,complicated,raccoon
19,male,cisgender,domesticcat
18,male,cisgender,
26,male,cisgender,redfox
60,male,cisgender,riverotter
22,male,complicated,husky
1,mostly_male,cisgender,brownbear
22,male,cisgender,
35,mostly_male,cisgender,
25,neutrois,transgender,otherfeline
37,male,cisgender,coyote
30,male,cisgender,germanshepherd
23,mostly_female,cisgender,wolf
31,male,cisgender,
21,male,cisgender,redfox
24,mostly_male,cisgender,wolf
17,male,complicated,wolf
23,both,complicated,raccoon
26,male,cisgender,wolf
15,male,cisgender,wolf
32,male,cisgender,rabbit
21,male,cisgender,redfox
23,male,cisgender,redfox
20,male,cisgender,deer
30,male,cisgender,rabbit
19,female,cisgender,domesticcat
18,male,cisgender,otherfox
25,male,cisgender,redfox
31,male,cisgender,brownbear
49,male,cisgender,horse
25,male,transgender,otherfeline
20,genderqueer,transgender,wolf
29,male,cisgender,wolf
20,male,cisgender,otherdog
25,mostly_male,cisgender,domesticcat
19,male,cisgender,redfox
24,mostly_female,cisgender,otherfox
34,mostly_female,cisgender,
30,female,cisgender,domesticcat
35,male,cisgender,raccoon
22,male,cisgender,husky
25,male,cisgender,domesticcat
26,male,cisgender,redfox
23,mostly_male,cisgender,kitsune
26,male,cisgender,othermustelid
43,male,cisgender,wolf
22,mostly_male,complicated,germanshepherd
22,male,cisgender,wolf
37,male,cisgender,
25,male,cisgender,redfox
24,female,transgender,cheetah
27,female,cisgender,husky
19,male,cisgender,snowleopard
27,mostly_male,transgender,otherfox
20,male,cisgender,arcticfox
30,male,cisgender,dragon
16,male,cisgender,wolf
21,male,cisgender,redfox
24,genderqueer,complicated,wolf
31,male,cisgender,redfox
20,male,cisgender,husky
25,male,cisgender,wolf
25,mostly_male,transgender,tiger
25,male,cisgender,greyfox
24,mostly_female,transgender,arcticfox
26,male,cisgender,collie
22,female,cisgender,deer
18,male,cisgender,dragon
1,both,transgender,
25,male,cisgender,rabbit
32,male,cisgender,wolf
21,male,cisgender,otherdog
23,male,cisgender,jackal
25,female,cisgender,otherreptile
19,male,cisgender,otherungulate
24,male,cisgender,dragon
26,male,cisgender,arcticfox
29,male,cisgender,dragon
25,male,cisgender,othermustelid
21,male,cisgender,tiger
32,male,cisgender,wolf
25,male,cisgender,otherdog
20,male,cisgender,tiger
24,male,cisgender,
19,male,cisgender,husky
23,male,cisgender,dragon
31,male,cisgender,domesticcat
22,male,cisgender,husky
22,male,cisgender,wolf
18,male,cisgender,domesticcat
28,male,cisgender,otherfox
28,male,cisgender,jackal
31,both,transgender,otherfox
21,genderqueer,transgender,redpanda
24,male,cisgender,hyaena
30,male,cisgender,wolf
28,female,cisgender,wolf
24,male,cisgender,hyaena
30,male,cisgender,leopard
28,mostly_female,transgender,kitsune
19,male,cisgender,wolf
31,male,cisgender,otherfox
20,male,cisgender,otherfox
18,male,cisgender,
20,nonbinary_nos,complicated,jackal
31,male,cisgender,redfox
21,male,cisgender,
20,male,cisgender,otherbird
30,male,cisgender,
22,male,cisgender,wolf
33,male,cisgender,othermarsupial
26,male,cisgender,dragon
18,genderqueer,cisgender,wolf
20,female,transgender,wolf
20,female,cisgender,othercanine
25,male,cisgender,otherreptile
19,male,cisgender,other
17,mostly_male,cisgender,redfox
19,mostly_male,cisgender,wolf
26,male,cisgender,kitsune
23,female,cisgender,domesticcat
37,male,cisgender,redfox
29,male,cisgender,wolf
24,male,cisgender,wolf
21,male,cisgender,
14,mostly_female,cisgender,otherdog
30,female,transgender,rabbit
30,male,cisgender,
29,male,cisgender,lizard
25,male,complicated,dragon
21,genderqueer,transgender,tiger
19,male,cisgender,wolf
28,male,cisgender,arcticfox
24,male,cisgender,wolf
35,mostly_female,cisgender,domesticcat
21,genderqueer,complicated,kitsune
20,genderqueer,transgender,otherdog
25,mostly_female,cisgender,other
29,female,cisgender,domesticcat
29,female,cisgender,otherdog
19,male,cisgender,snowleopard
22,male,cisgender,otherdog
17,male,cisgender,wolf
29,male,cisgender,riverotter
29,male,cisgender,otherfeline
14,genderqueer,cisgender,wolf
25,genderqueer,transgender,dinosaur
19,male,cisgender,dinosaur
21,male,cisgender,wolf
15,male,cisgender,dragon
16,male,cisgender,fennec
22,male,cisgender,wolf
23,male,cisgender,redfox
21,male,cisgender,lizard
17,mostly_male,transgender,otherdog
21,male,cisgender,lizard
20,male,cisgender,redfox
40,female,cisgender,panther
15,mostly_male,transgender,germanshepherd
17,mostly_male,cisgender,dragon
39,mostly_male,complicated,anthro
18,female,cisgender,domesticcat
17,female,cisgender,wolf
20,male,cisgender,wolf
23,male,cisgender,wolf
15,male,cisgender,wolf
22,male,cisgender,wolf
32,male,cisgender,wolf
26,male,cisgender,coyote
25,male,cisgender,riverotter
18,male,transgender,lion
28,male,cisgender,raccoon
