age,orientation
22,"Bisexual, leaning heterosexual"
23,Mostly homosexual
24,"Bisexual, leaning heterosexual"
27,"Bisexual, leaning homosexual"
23,Pansexual
31,Pansexual
15,Pansexual
38,Pansexual
32,Completely homosexual
37,"Bisexual, leaning homosexual"
24,Mostly heterosexual
18,"Bisexual, leaning homosexual"
21,Pansexual
17,Completely homosexual
26,Mostly homosexual
19,"Bisexual, leaning homosexual"
35,Mostly homosexual
29,Completely homosexual
20,Completely heterosexual
21,Pansexual
26,"Bisexual, leaning homosexual"
26,Pansexual
21,Pansexual
29,"Bisexual, leaning homosexual"
15,Mostly homosexual
35,Mostly heterosexual
31,Mostly homosexual
18,Mostly homosexual
27,Completely homosexual
32,Mostly homosexual
37,Pansexual
41,Mostly homosexual
19,Completely heterosexual
25,Mostly homosexual
26,Completely heterosexual
25,Bisexual
19,Pansexual
28,Completely homosexual
38,Pansexual
28,Mostly homosexual
22,Completely homosexual
26,Other
15,Pansexual
23,"Bisexual, leaning heterosexual"
30,Completely homosexual
18,Mostly homosexual
21,Bisexual
27,Bisexual
25,Pansexual
23,"Bisexual, leaning homosexual"
23,Completely heterosexual
40,Bisexual
20,Mostly homosexual
18,Completely homosexual
21,Bisexual
30,Completely homosexual
32,"Bisexual, leaning homosexual"
25,Asexual
24,Pansexual
19,"Bisexual, leaning homosexual"
22,"Bisexual, leaning homosexual"
18,Pansexual
31,Mostly heterosexual
18,"Bisexual, leaning homosexual"
27,Bisexual
25,Mostly heterosexual
18,"Bisexual, leaning homosexual"
21,Bisexual
21,Bisexual
23,Bisexual
29,Asexual
27,"Bisexual, leaning heterosexual"
20,Completely heterosexual
26,Completely heterosexual
27,Completely homosexual
22,Completely homosexual
25,Pansexual
27,Mostly heterosexual
27,"Bisexual, leaning heterosexual"
23,Pansexual
27,Mostly homosexual
24,Mostly homosexual
30,Pansexual
24,Completely heterosexual
29,Asexual
21,Mostly heterosexual
20,Mostly homosexual
20,Asexual
28,Pansexual
21,Bisexual
23,"Bisexual, leaning homosexual"
20,Completely homosexual
23,Mostly heterosexual
22,Mostly heterosexual
33,Bisexual
25,Asexual
27,Pansexual
16,Bisexual
27,Completely homosexual
25,Pansexual
20,Mostly homosexual
26,"Bisexual, leaning homosexual"
28,Asexual
24,Mostly homosexual
26,"Bisexual, leaning heterosexual"
22,Mostly homosexual
22,Pansexual
18,Bisexual
15,Bisexual
30,Completely homosexual
16,"Bisexual, leaning heterosexual"
34,Bisexual
20,Completely heterosexual
23,"Bisexual, leaning heterosexual"
27,Pansexual
23,"Bisexual, leaning homosexual"
14,"Bisexual, leaning homosexual"
28,"Bisexual, leaning heterosexual"
23,Pansexual
21,"Bisexual, leaning homosexual"
26,Pansexual
22,Pansexual
23,Mostly homosexual
22,Mostly homosexual
25,Mostly homosexual
17,Completely heterosexual
39,Completely homosexual
18,Completely homosexual
22,Mostly homosexual
17,Asexual
16,"Bisexual, leaning heterosexual"
19,Other
99,Bisexual
29,Pansexual
20,Pansexual
30,"Bisexual, leaning heterosexual"
28,"Bisexual, leaning homosexual"
16,"Bisexual, leaning heterosexual"
27,Bisexual
22,Completely homosexual
28,"Bisexual, leaning homosexual"
26,"Bisexual, leaning heterosexual"
22,"Bisexual, leaning homosexual"
22,Asexual
23,Pansexual
34,Asexual
17,Asexual
19,Completely homosexual
19,Pansexual
24,Asexual
16,Bisexual
16,Pansexual
16,"Bisexual, leaning homosexual"
