Species,Sexual dominance,Romantic dominance,Social dominance
wolf,0,1,-1
otherdog; other,1,1,1
otherdog,-2,0,1
arcticfox; fennec,-2,-2,-2
pandabear,-1,1,1
fennec,0,1,1
redfox,-2,-1,-2
redfox,-2,-2,-2
other,0,0,2
arcticfox,2,-1,1
othercanine,0,-1,-1
dragon,0,1,1
husky,-1,0,1
lizard; otherreptile,-2,0,1
wolf,0,0,0
redfox,-1,0,-1
otherbird,-1,-1,0
domesticcat,-1,-2,0
other,-1,-1,0
otherbear,0,1,1
coyote,-1,1,0
domesticcat,-1,1,0
wolf; redfox; raptor,1,0,-1
otherreptile,-1,-1,0
wolf,1,0,1
otherreptile,0,-2,-2
otherfeline,2,1,1
other,0,0,0
horse,-1,0,-1
raccoon,-1,-1,1
cougar; domesticcat; otherfeline,-1,0,0
wolf,-1,-1,-1
redfox; raccoon,0,0,-1
dragon,0,-1,0
wolf; husky,-2,-2,0
riverotter,-1,-1,0
otherfeline; other,-2,-1,0
dragon,0,-1,-1
riverotter,-1,0,0
other,-1,0,-1
snowleopard; domesticcat,-2,-1,0
redfox,-2,-1,-1
other,0,0,1
other,0,-1,-1
wolf,-1,1,0
skunk,0,0,-2
dragon,-1,-1,0
raccoon,-1,-1,-1
horse,1,1,0
lion,-1,1,2
snowleopard; cheetah,1,0,0
greyfox; arcticfox; husky; rabbit,1,1,0
wolf,0,1,1
wolf; hyaena,0,0,2
dragon,0,0,-1
rat,0,-1,-1
domesticcat,-1,1,0
raccoon; othermusteloid,-2,1,-1
wolf,-2,1,-2
cheetah,-2,-1,0
coyote,-2,-1,0
otherreptile; otherbird,-2,0,0
other,0,0,-1
domesticcat,-2,0,1
othercanine,0,-1,-2
husky,-2,2,1
snowleopard,0,0,0
wolf; redfox; husky,-2,-2,-1
hyaena,-1,0,0
domesticcat,0,-1,-1
redfox,-1,-1,-1
lion,-1,1,1
otherdog,0,1,0
tiger; lion,0,-1,0
wolf; othermustelid,0,0,-1
otherfeline; brownbear,1,1,0
dragon,-1,0,1
rat,0,0,-1
redfox,0,0,1
husky,-1,0,0
husky; otherdog,0,0,-1
pandabear,-1,1,2
other,0,0,0
domesticcat,0,0,-1
riverotter,0,-1,-1
wolf,0,1,-1
wolf,-1,-1,2
rabbit,-2,1,0
raven,-2,0,1
deer,-1,0,-1
otherreptile,0,1,-1
wolf,-2,-1,0
fennec; domesticcat,-2,-2,-2
husky,1,0,-1
domesticcat; raccoon,-2,-2,-1
dragon,1,0,2
redfox,0,0,0
othermarsupial,0,1,-2
wolf,0,0,0
kitsune,0,0,0
otherfox; other,-1,2,0
otherdog,-1,-1,0
otherfeline,-1,-1,-1
arcticfox,-1,-1,1
otherfox,1,0,2
wolf,-1,-1,-2
lizard,-1,0,1
wolf,2,1,1
rabbit,1,-2,0
othercanine,-2,-1,1
kitsune,1,-1,2
cheetah,0,0,0
