  id   | empty_count | full_count | sum 
  2514 |          14 |         85 |  99
  5531 |          11 |         88 |  99
  1278 |          13 |         86 |  99
  5364 |          14 |         85 |  99
 11319 |          14 |         85 |  99
  1950 |          13 |         86 |  99
  8969 |          13 |         86 |  99
  9373 |          12 |         88 | 100
  6937 |          11 |         89 | 100
  3838 |          16 |         84 | 100
  6947 |          13 |         87 | 100
  9109 |          14 |         86 | 100
  2874 |          13 |         87 | 100
   524 |          19 |         81 | 100
  3235 |          11 |         89 | 100
  3304 |          14 |         86 | 100
  9348 |          13 |         87 | 100
  1325 |          13 |         87 | 100
  2279 |          14 |         86 | 100
  8641 |          13 |         87 | 100
  3176 |          14 |         86 | 100
  2890 |          15 |         85 | 100
  2965 |          15 |         85 | 100
  2990 |          12 |         88 | 100
  2030 |           9 |         91 | 100
  2492 |          14 |         86 | 100
  3106 |          14 |         86 | 100
  2567 |          12 |         88 | 100
   636 |          13 |         87 | 100
  6498 |          13 |         87 | 100
  2721 |          14 |         86 | 100
  8005 |          13 |         88 | 101
  4634 |          14 |         87 | 101
  4567 |          13 |         88 | 101
  6388 |          12 |         89 | 101
  1811 |          14 |         87 | 101
  5003 |          14 |         87 | 101
  9290 |          13 |         88 | 101
  4599 |          12 |         89 | 101
  1547 |          16 |         85 | 101
  4188 |          13 |         88 | 101
  9052 |          13 |         88 | 101
  3910 |          13 |         88 | 101
 11099 |          12 |         89 | 101
  6705 |          13 |         88 | 101
  7771 |          13 |         88 | 101
  6701 |          14 |         87 | 101
  3647 |          15 |         86 | 101
   466 |          13 |         88 | 101
  6624 |          12 |         89 | 101
  3698 |          21 |         80 | 101
  6603 |          12 |         89 | 101
   563 |          14 |         87 | 101
   677 |          17 |         84 | 101
   731 |          14 |         87 | 101
 10643 |          14 |         87 | 101
  4437 |          14 |         87 | 101
  6260 |          13 |         88 | 101
  8313 |          13 |         88 | 101
  4022 |          13 |         88 | 101
  1084 |          14 |         87 | 101
  3538 |          15 |         86 | 101
 11156 |          13 |         88 | 101
  2075 |          13 |         88 | 101
  5909 |          15 |         86 | 101
 11342 |          13 |         88 | 101
  5953 |          13 |         88 | 101
  9835 |          18 |         83 | 101
  9920 |          13 |         88 | 101
 11372 |          13 |         88 | 101
  2882 |          12 |         90 | 102
  2812 |          13 |         89 | 102
  2972 |          13 |         89 | 102
  3454 |          13 |         89 | 102
 11617 |          13 |         89 | 102
  1938 |          14 |         88 | 102
  8832 |          13 |         89 | 102
  4833 |          13 |         89 | 102
  5390 |          11 |         91 | 102
  3142 |          14 |         88 | 102
  8202 |          13 |         89 | 102
  6507 |          14 |         88 | 102
  2505 |          14 |         88 | 102
  1290 |          10 |         92 | 102
